date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:36	8728/8728	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:17%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.html	(from )
09:07:37	57/57	---M-Z	200	added ('OK')	text/plain	etag:%22ed80e84-2f-4df70cf97b5c0%22	http://sources.debian.net/robots.txt		(from )
09:07:37	16967/16967	---M-Z	200	added ('OK')	text/css	etag:%22ed80eae-4247-4f337d5d936ac%22	http://sources.debian.net/static/css/debian.css	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/debian.css	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:37	2655/2655	---M-Z	200	added ('OK')	text/css	etag:%22ed81264-a5f-4f400bf6e8e45%22	http://sources.debian.net/static/css/base.css	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/base.css	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:37	254/254	---M-Z	200	added ('OK')	text/css	etag:%22ed80eb4-fe-4f0b81009d892%22	http://sources.debian.net/static/css/source_folder.css	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/css/source_folder.css	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:37	2006/2006	---M--	200	added ('OK')	image/png	etag:%22ed80eb8-7d6-4f0b81009d892%22	http://sources.debian.net/static/img/debian-50.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/static/img/debian-50.png	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:38	848/848	---M--	200	added ('OK')	image/png	etag:%22240fb7-350-4a5e781a5d580%22	http://sources.debian.net/icons/Tango/22x22/places/folder.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/icons/Tango/22x22/places/folder.png	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:38	8887/8887	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:19%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/ddd	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/ddd.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:38	9502/9502	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:19%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/debian	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/debian.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:38	7188/7188	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:20%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/python	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/python.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:39	305717/305717	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:20%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.rtf	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:39	523/523	---M--	200	added ('OK')	image/png	etag:%22240fd2-20b-4a5e781875100%22	http://sources.debian.net/icons/Tango/22x22/mimetypes/ascii.png	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/icons/Tango/22x22/mimetypes/ascii.png	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:40	77232/77232	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:21%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/DDS_alg_descr-revE4-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:40	161304/161304	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:21%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/DLL-dds_252_t.rtf	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/DLL-dds_252_t.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
09:07:41	40405/40405	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202014%2006:10:22%20GMT	http://sources.debian.net/src/dds/2.5.2+ddd105-1/DLL-dds_252_t.txt	E:/MyWork/mobile/android/DoubleDummySolver/references/DDD/sources.debian.net/src/dds/2.5.2+ddd105-1/DLL-dds_252_t-2.html	(from http://sources.debian.net/src/dds/2.5.2+ddd105-1)
